ltable_id,rtable_id,label
1336922,88766,1
795094,755553,1
1503848,1832271,1
333754,876020,1
1352417,1963111,1
938802,524123,1
1490876,130393,1
319044,53468,1
738800,1159788,1
1120039,2171798,1
667007,1289010,1
455452,248071,1
1130523,404502,1
1249646,290047,1
1421579,2477713,1
754934,101917,1
1363102,1480042,1
815685,161106,1
1110296,889207,1
313915,586746,1
629947,884608,1
1079630,438893,1
1153858,1096914,1
289090,1096246,1
324097,1428185,1
520336,294481,1
1571730,514247,1
1492293,1141207,1
1678043,516871,1
1408243,697486,1
1406791,163432,1
1645281,2372758,1
1517996,2401370,1
823000,1482184,1
911441,630455,1
1070771,699174,1
1054285,59683,1
657353,1065736,1
641416,803032,1
1781097,1433842,1
558062,2265485,1
926740,1642633,1
469131,1000526,1
1466016,2277126,1
1099499,403086,1
739819,2420624,1
472486,245878,1
1486704,2023168,1
1404605,1176326,1
512351,527137,1
755205,2207839,1
1692038,1267185,1
1004581,21230,1
281891,175833,1
1058263,2032846,1
1025642,2490373,1
50570,141930,1
371522,1802445,1
1404958,1911550,1
173726,205308,1
1450851,197606,1
1367645,2153203,1
585053,468709,1
1104628,261518,1
1638466,566384,1
130654,187015,1
1381983,260959,1
33394,1236961,1
1607303,2143545,1
599589,684170,1
453165,1166257,1
98939,404877,1
469898,1793984,1
315977,2040109,1
878282,2160018,1
1782102,1589886,1
1384659,305237,1
1721523,483391,1
923088,1691574,1
1508514,2143258,1
524675,1155141,1
1047460,816233,1
1601551,1331555,1
1645709,2486267,1
40592,737109,1
785087,799459,1
983197,274552,1
1513354,2016847,1
523083,1304367,1
1516296,124406,1
996225,2182425,1
874557,735231,1
938401,1754630,1
898688,657384,1
914977,902036,1
1659428,1610306,1
1063606,1627314,1
1791396,1721621,1
146865,898832,1
384050,844221,1
1781032,169581,1
956415,311329,1
1225874,1739846,1
1388760,1006696,1
1472772,1697891,1
918944,516810,1
1306402,857479,1
1116836,638314,1
662155,655585,1
228213,1339861,1
931307,1050212,1
997092,1165327,1
598948,676108,1
1255975,240120,1
1073299,1369167,1
1001666,186967,1
1673526,954734,1
1505840,1312544,1
29563,873194,1
466989,1223818,1
1667210,374276,1
1808193,1102777,1
635138,721703,1
1226736,2215885,1
1702512,873399,1
435621,110769,1
764587,1624430,1
1651737,858890,1
135112,1680721,1
25947,22246,1
1482224,1283647,1
816043,1726079,1
1796097,458281,1
317319,267776,1
1677204,79184,1
68423,1367722,1
1481075,171634,1
269106,2292925,1
1015595,2273043,1
1404812,871033,1
1763428,1160008,1
1480807,164228,1
1406895,1342735,1
1747875,1631615,1
