ltable_id,rtable_id,label
1039404,1332616,1
1610455,224204,1
59581,1769697,0
979980,2460623,1
820178,1680051,0
1518962,130407,0
456283,2119796,1
721584,976195,0
935452,1185636,1
1472225,431659,1
1397389,2439339,1
1671498,982377,0
1793634,2127439,1
1400447,984578,1
776824,147299,0
530445,1033282,0
1052842,1170422,1
552296,858694,1
987013,112451,0
123780,1501643,1
1774376,1898329,0
1413697,1668881,1
1688740,139019,1
1397921,103120,0
45823,2324480,0
972660,14571,0
635884,1261904,0
474472,2453075,1
837229,179187,1
46292,84164,1
1301358,1422570,0
1133441,1948542,0
1797545,2007806,1
320245,979776,1
1750439,1989115,0
1403668,2282275,0
595135,1903547,1
997061,1356373,0
1039130,524578,1
736476,2388744,0
1167018,1746888,0
757754,1733527,0
1235231,498840,1
997918,1579307,0
851348,872324,1
1680664,671824,0
1149585,1420956,1
1018055,329500,1
154854,1168288,0
1341941,1793340,1
436174,2030700,0
338097,626567,0
852673,1553075,0
1013171,2160235,0
1371638,340696,1
1787016,1393251,1
49621,97773,1
976185,1572364,0
1528887,1495173,1
1223959,1473112,0
366563,590708,1
286650,1849447,0
335849,1277088,1
1627442,1609259,0
1127188,1186386,1
98845,2124104,0
1819301,1787672,0
751012,2074204,1
537424,800261,1
837835,1087875,1
388114,574173,0
950802,1183022,1
1267716,1022871,0
1755320,1082213,0
1268531,2378357,0
1583349,1375603,1
43606,2476908,0
931829,2014127,0
1012186,753911,0
778619,98360,1
1051205,1090921,0
1750972,2361032,0
808067,1278197,0
271328,114301,0
1685970,495590,1
437305,314956,0
510964,235366,0
41291,1011413,0
1794494,2490614,1
591295,1697074,0
1419261,2174153,1
556749,1298607,1
1706307,1868838,1
593771,842667,1
578169,77371,1
1386940,447226,0
1436088,658818,1
597800,1199909,1
1048191,1507034,0
1334257,2214170,1
1736346,1107256,1
527606,340581,0
339686,988487,0
783102,1203216,0
464794,1602597,0
1062909,2493964,1
687873,2488886,0
1223685,771818,0
783665,1940205,0
30484,1288914,1
1196709,177798,1
880222,2037685,0
454013,1158068,0
98472,1830114,1
1318889,264081,0
1356503,127023,0
119823,39909,1
1202478,1191739,0
1393255,397509,0
723437,2288718,0
673827,1276455,1
1513723,1462809,0
319869,576845,0
262833,2412056,1
1804609,1950951,1
298978,385812,1
873099,1537243,0
455426,901781,1
1726785,355855,0
1726810,448462,1
1034600,1779460,1
48366,1063761,0
21224,198592,0
81419,2137815,0
213777,1173617,1
370403,99258,0
1575894,1911545,0
1570669,2066740,0
56911,246976,0
841847,240314,0
1682739,422894,1
1164806,1246633,1
462032,149435,0
1529028,1655602,1
367829,1010030,1
3412,327611,1
1473392,479958,1
350966,2271257,0
189256,308592,1
409958,283509,0
853607,1472838,1
188601,1819565,0
575593,1046950,1
1706398,359307,0
593059,672794,0
1307368,1592418,0
1113513,931308,1
20682,861457,0
1687050,1380762,0
1813773,142156,1
678648,2498753,0
178462,1794910,0
669353,2300158,0
947160,223480,0
1652089,672078,0
435647,2420588,0
780980,679219,0
1426824,1614254,1
1399761,845216,1
468323,320159,1
526117,1331441,1
176199,242320,0
877881,589189,1
306794,1017299,1
1607848,2355553,0
576089,1020788,1
757368,865363,0
146059,1277759,1
1714165,345957,1
1319456,1115347,1
1789889,411847,1
188232,825347,0
325282,218261,0
527790,2322269,1
117748,1244208,0
797278,2011258,0
1324764,1255869,1
1693910,59103,1
1025542,330810,0
240580,2416615,1
1573791,797117,0
315271,1434392,0
1171747,2320198,0
1459532,1033540,0
914684,1111909,1
49722,1239367,1
1050916,50031,1
611010,223033,1
1145072,1037512,0
631303,57629,0
125287,853037,0
1055482,1176085,1
718355,941012,0
771732,1453001,1
1788275,885400,0
1754017,1669715,1
1570924,1624531,0
100874,2050441,1
844111,1073483,0
900070,2010893,0
1474859,880217,0
1332714,1492410,1
1199416,2002529,0
1569420,1547343,1
283437,17617,1
1669197,1686152,0
681550,1407954,0
462374,1060727,0
138739,656679,1
344957,585343,1
1784568,1174424,1
987423,202864,1
200956,802738,1
1068010,1832646,1
1483601,1059248,0
1613150,2078631,0
487068,1792934,0
836376,19626,0
17245,440676,1
1553414,1390440,0
999352,2435805,0
1503466,1891893,0
238510,313646,0
1309606,2414922,0
1693776,2196098,0
1414407,1775881,1
1421874,367963,1
6761,2317773,0
1581940,1110551,0
155564,2076183,0
1636568,1327412,0
1351005,599075,0
285907,2155227,1
1019363,833341,1
1591680,588302,1
517585,391984,0
1102867,1691695,1
301213,2422691,1
784965,2332321,0
631349,1785636,0
266986,1498642,1
1663432,1803141,0
1458060,371099,0
313003,1831146,1
415878,2115055,0
830815,2226046,0
1229197,851069,0
235866,679944,1
369294,2074933,0
41915,1048303,0
289837,493101,0
362032,501610,1
380842,1842653,0
341001,39124,0
1250819,1653896,1
1601409,545953,0
56941,1164972,1
757603,2332475,1
1581934,2467970,0
332238,2368476,1
1216839,2074963,0
376660,1877297,0
1776596,2051955,0
1382229,797433,1
140706,1180510,1
133032,1358762,1
770712,311226,1
471042,1768758,1
644321,780893,0
452940,1245455,0
1700134,763737,1
1443534,2363684,0
640913,1821448,1
1260452,1740106,0
309448,1669871,1
617644,1817162,0
1637459,33980,0
1222252,915852,1
418365,1367033,0
973364,1201934,1
987084,1995869,1
361583,1599510,1
1025979,1832472,1
1482825,558791,0
692377,399451,0
141237,1701585,0
680230,804172,0
389287,1636579,1
407956,2056625,1
1801420,1900289,0
351713,644276,1
868185,1024825,1
1594879,1346181,1
296961,2335476,0
1159149,873371,1
1731825,1727061,0
732278,1192568,0
868479,108764,1
1572711,1731398,0
897565,1779619,1
1217978,1059327,0
1084316,1757974,0
980460,765724,1
519026,1831180,1
1604503,707064,0
439450,2082888,0
980468,927687,1
80342,1308532,1
1345450,853037,1
640029,1218823,1
1266923,433169,1
481098,453829,1
1746575,548541,1
171184,698811,1
798514,716498,0
743613,374028,1
1297563,297724,1
1689078,1226203,1
1177470,967369,0
943505,970267,0
510549,1487963,0
677156,1656208,0
1792545,1833907,1
1424284,1349463,0
1292706,2091239,1
1495936,2010986,0
1680488,2381299,1
1275872,719814,1
861434,691751,0
265419,62204,0
342020,320211,1
79843,806350,1
974464,1157906,1
534969,306712,0
660436,235452,1
1705707,915887,0
964572,1692688,0
399473,2276571,0
549779,447375,0
