ltable_id,rtable_id,label
157236,396889,1
948819,948819,1
410877,410877,1
750096,750096,1
336906,336906,1
271587,271587,1
345182,345182,1
366360,366360,1
961092,961092,1
383477,383477,1
152763,152763,1
806070,806070,1
407831,269738,1
287505,287505,1
732019,946207,1
383961,383961,1
236312,236312,1
766745,766745,1
820514,360272,1
869649,869649,1
782709,782709,1
230539,230539,1
164128,164128,1
474900,474900,1
775149,775149,1
782765,291246,1
993070,993070,1
231928,231928,1
176430,176430,1
924887,924887,1
210167,73711,1
511310,511310,1
98972,98972,1
9451,9451,1
484103,484103,1
124319,124319,1
411540,411540,1
515992,515992,1
256294,420336,1
824516,824516,1
913979,913979,1
900291,900291,1
579596,579596,1
449781,449781,1
397436,397436,1
500333,500333,1
353657,816681,1
437081,437081,1
482928,482928,1
907105,190788,1
387175,387175,1
344721,344721,1
1427,1427,1
285047,604878,1
659298,659298,1
736063,736063,1
716876,617357,1
984470,984470,1
300641,300641,1
894990,894990,1
80109,80109,1
995729,995729,1
191293,191293,1
735627,735627,1
642340,606488,1
44407,44407,1
297630,297630,1
933399,933399,1
808787,808787,1
475801,475801,1
202328,202328,1
267625,267625,1
37796,288017,1
170669,170669,1
96151,96151,1
62563,708925,1
817576,77522,1
590463,590463,1
856959,856959,1
547544,547544,1
132154,390234,1
375549,375549,1
313338,313338,1
845256,845256,1
727637,835754,1
561428,105579,1
344996,344996,1
565885,565885,1
705593,705593,1
387780,387780,1
862154,862154,1
208944,208944,1
451011,451011,1
393859,783631,1
850956,850956,1
553271,614873,1
583318,583318,1
925623,651099,1
191584,191584,1
314873,314873,1
264105,809568,1
942017,443533,1
934817,934817,1
276096,276096,1
923993,221658,1
921938,921938,1
143113,143113,1
748355,889428,1
871516,871516,1
806863,806863,1
168,168,1
755332,755332,1
740487,740487,1
825786,825786,1
59189,59189,1
883783,883783,1
184716,184716,1
839401,839401,1
929575,929575,1
958897,958897,1
683117,776469,1
533600,533600,1
437129,437129,1
241831,959748,1
308443,308443,1
875315,516963,1
58947,58947,1
614599,614599,1
225977,225977,1
699438,27530,1
699759,699759,1
904020,904020,1
691027,691027,1
839207,958879,1
907463,907463,1
551494,551494,1
593548,97293,1
317948,317948,1
645246,645246,1
344982,490560,1
434994,434994,1
714389,714389,1
732826,732826,1
843238,843238,1
490659,490659,1
726988,726988,1
672618,672618,1
374249,145187,1
734303,734303,1
618712,618712,1
656875,656875,1
242176,242176,1
56228,56228,1
39914,39914,1
363217,711446,1
232091,232091,1
178592,178592,1
168601,168601,1
209108,209108,1
289383,289383,1
279536,279536,1
99491,99491,1
640230,640230,1
666977,666977,1
698515,698515,1
872017,285126,1
750500,750500,1
966812,966812,1
38425,993374,1
980947,980947,1
326414,653107,1
599582,992192,1
524318,524318,1
552953,126557,1
389273,389273,1
176176,176176,1
40078,40078,1
795334,795334,1
787676,787676,1
823604,823604,1
578030,579928,1
148169,911211,1
989127,989127,1
998707,998707,1
940516,940516,1
247290,247290,1
723847,723847,1
22804,789797,1
518459,518459,1
165291,809759,1
236258,704264,1
98862,285614,1
719798,719798,1
20118,20118,1
923107,476390,1
925111,925111,1
840735,840735,1
206947,206947,1
747055,747055,1
669038,669038,1
214903,214903,1
338339,338339,1
861270,861270,1
434306,434306,1
952691,952691,1
678307,678307,1
61682,61682,1
932238,86600,1
912653,881044,1
153507,153507,1
716729,896553,1
436229,436229,1
497978,497978,1
277825,277825,1
947855,947855,1
530092,530092,1
655220,451702,1
403273,403273,1
764865,764865,1
201205,201205,1
218584,218584,1
420880,420880,1
384519,160569,1
394006,394006,1
490421,597900,1
116510,642957,1
199490,199490,1
147006,211521,1
890529,890529,1
138385,138385,1
379682,379682,1
208043,208043,1
875731,844629,1
817297,817297,1
719184,719184,1
197113,739076,1
266431,266431,1
74330,74330,1
912366,912366,1
198785,133230,1
267824,267824,1
941088,941088,1
918945,918945,1
753441,520784,1
851879,851879,1
228635,531285,1
40832,40832,1
32821,578008,1
137228,726157,1
127079,62534,1
40253,40253,1
720874,720874,1
884251,884251,1
568157,568157,1
290283,290283,1
731095,731095,1
454067,454067,1
735945,735945,1
997823,997823,1
620600,620600,1
595841,595841,1
651313,651313,1
849307,849307,1
686604,686604,1
176083,176083,1
728959,728959,1
283485,283485,1
94614,94614,1
662093,662093,1
384121,384121,1
716319,376193,1
661045,661045,1
747047,39103,1
101236,101236,1
407793,624574,1
41191,41191,1
698178,698178,1
334108,334108,1
459265,459265,1
936812,859235,1
836540,836540,1
321413,528692,1
973527,973527,1
909831,909831,1
646495,426159,1
511197,511197,1
19973,19973,1
27408,27408,1
457177,457177,1
852113,852113,1
674793,674793,1
623510,401435,1
678593,41287,1
191132,191132,1
102565,102565,1
425105,425105,1
293483,293483,1
989091,989091,1
589736,589736,1
977451,977451,1
183272,382061,1
673107,898326,1
