ltable_id,rtable_id,label
844284,49557,0
560304,557062,0
86171,86171,1
582830,582830,1
38860,451178,0
896203,99083,0
789927,393931,0
547580,948643,1
563204,251028,0
589171,675503,0
293645,849003,0
227948,476842,0
524469,881739,0
920465,920465,1
925971,925971,1
328476,328476,1
46551,367787,0
335231,126017,0
617789,12015,1
825559,825559,1
521329,817830,0
267175,267175,1
470202,599624,1
511970,511970,1
949929,678288,0
137464,231682,0
980493,605441,0
585945,189976,0
264354,248786,0
684968,684968,1
963517,209599,0
436623,363636,1
630800,630800,1
775664,775664,1
880790,880790,1
852421,993958,1
812443,810,1
665190,665190,1
805651,473949,0
172604,360511,0
878905,878905,1
708893,894171,0
614788,270870,0
856046,856046,1
88287,88287,1
24220,24220,1
365864,912373,0
377636,377636,1
319757,319757,1
490272,135805,0
311114,600521,0
184248,184248,1
454611,454611,1
505843,959918,1
314129,920086,1
67807,306969,0
943716,943716,1
307708,307708,1
567765,849648,1
481908,737954,0
146813,146813,1
808446,759885,0
569267,305953,0
175634,572373,0
434845,670966,0
879353,879353,1
762804,56266,0
732641,852466,0
595880,595880,1
187991,187991,1
350805,468840,0
866259,866259,1
322358,896773,0
921804,217377,0
376345,396091,0
384473,435925,0
832686,935862,0
800152,800152,1
743809,743809,1
859304,859304,1
522454,463522,0
442311,442311,1
205378,497610,0
737451,737451,1
599027,121767,1
151219,97029,1
143882,227787,0
793098,793098,1
1519,1519,1
786306,157641,0
172340,751086,0
288698,845928,0
674554,674554,1
490753,217461,0
545938,551000,1
868572,903583,1
485841,485841,1
923760,923760,1
508295,65490,1
679716,485498,0
251244,517982,1
24822,24822,1
48226,48226,1
345533,345533,1
814997,587387,0
523259,870116,0
633893,880394,0
147649,519204,0
651631,532143,0
416239,773587,0
613563,511799,0
171154,11769,0
178925,543503,0
168448,168448,1
162345,162345,1
572584,310503,0
868501,17075,0
870372,765436,1
250951,250951,1
603680,603680,1
89800,89800,1
782251,782251,1
367283,367283,1
569004,337222,0
509662,98451,0
176574,490319,0
383212,715767,0
952657,905233,0
299068,821921,1
465152,465152,1
476562,476562,1
851254,938976,0
213542,885952,0
678380,678380,1
378188,378188,1
101898,76084,0
577137,477576,1
418850,434818,0
496371,608758,0
207581,312044,0
518747,518747,1
952800,850298,1
188134,497134,1
720123,473290,0
38582,562316,0
930586,930586,1
696172,492132,0
260621,672868,0
980945,980945,1
626188,53421,0
487270,487270,1
42273,415144,0
349948,349948,1
374568,374568,1
465998,70137,0
738147,661150,0
898330,898330,1
576441,833346,0
402005,659001,0
167683,139418,1
219244,187887,0
433240,125881,0
774866,956771,0
609545,370173,0
127363,127363,1
723584,723584,1
709678,709678,1
821191,430802,1
635312,612220,0
318180,980727,0
178925,178925,1
390713,390713,1
85050,901267,1
15011,15011,1
717175,888742,0
66786,267180,0
569573,569573,1
556013,556013,1
460940,362527,0
493900,392960,0
27158,620802,0
79829,288669,0
73711,210167,1
559298,486992,1
404658,175579,0
115023,233904,1
650398,214112,0
595820,857349,0
521379,521379,1
446263,446263,1
943808,741153,0
751234,423764,0
457630,457630,1
610342,605737,0
793839,894856,0
284682,968529,1
999721,124710,0
820260,820260,1
573604,573604,1
88106,88106,1
170686,170686,1
89832,89832,1
3217,3217,1
815060,868323,0
891319,549932,0
